Pixel FlatCorrection LaserCorrection TotalCorrection
664 1.0083 0.9643 0.9723
665 1.0082 0.9643 0.9722
666 1.0092 0.9618 0.9706
667 1.0093 0.9618 0.9707
668 1.0086 0.9643 0.9726
669 1.0096 0.9618 0.9710
670 1.0084 0.9643 0.9724
671 1.0094 0.9618 0.9708
672 1.0143 0.9514 0.9650
673 1.0131 0.9541 0.9666
674 1.0134 0.9541 0.9669
675 1.0146 0.9514 0.9653
676 1.0162 0.9487 0.9641
677 1.0179 0.9459 0.9628
678 1.0166 0.9487 0.9644
679 1.0175 0.9459 0.9625
680 1.0172 0.9459 0.9622
681 1.0156 0.9487 0.9635
682 1.0159 0.9487 0.9638
683 1.0169 0.9459 0.9619
684 1.0154 0.9514 0.9661
685 1.0141 0.9541 0.9676
686 1.0149 0.9514 0.9656
687 1.0137 0.9541 0.9672
688 1.0095 0.9643 0.9735
689 1.0099 0.9643 0.9738
690 1.0104 0.9618 0.9718
691 1.0108 0.9618 0.9722
692 1.0115 0.9593 0.9703
693 1.0126 0.9567 0.9688
694 1.0119 0.9593 0.9707
695 1.0130 0.9567 0.9691
696 1.0098 0.9618 0.9712
697 1.0101 0.9618 0.9715
698 1.0088 0.9643 0.9728
699 1.0091 0.9643 0.9731
700 1.0120 0.9567 0.9682
701 1.0109 0.9593 0.9698
702 1.0122 0.9567 0.9684
703 1.0111 0.9593 0.9699
704 1.0031 0.9832 0.9862
705 1.0028 0.9832 0.9860
706 1.0036 0.9811 0.9846
707 1.0033 0.9811 0.9843
708 1.0040 0.9811 0.9850
709 1.0044 0.9811 0.9854
710 1.0038 0.9832 0.9869
711 1.0034 0.9832 0.9865
712 1.0039 0.9789 0.9827
713 1.0046 0.9767 0.9812
714 1.0048 0.9767 0.9814
715 1.0042 0.9789 0.9830
716 1.0052 0.9767 0.9818
717 1.0056 0.9767 0.9822
718 1.0049 0.9789 0.9837
719 1.0045 0.9789 0.9833
720 1.0066 0.9721 0.9785
721 1.0059 0.9744 0.9801
722 1.0063 0.9744 0.9805
723 1.0070 0.9721 0.9789
724 1.0052 0.9744 0.9795
725 1.0063 0.9721 0.9782
726 1.0060 0.9721 0.9779
727 1.0055 0.9744 0.9798
728 1.0083 0.9674 0.9754
729 1.0087 0.9674 0.9758
730 1.0078 0.9698 0.9774
731 1.0074 0.9698 0.9770
732 1.0077 0.9674 0.9748
733 1.0068 0.9698 0.9764
734 1.0079 0.9674 0.9750
735 1.0071 0.9698 0.9767
736 1.0037 0.9789 0.9825
737 1.0043 0.9767 0.9809
738 1.0041 0.9767 0.9807
739 1.0035 0.9789 0.9823
740 1.0028 0.9811 0.9838
741 1.0022 0.9832 0.9854
742 1.0027 0.9811 0.9837
743 1.0023 0.9832 0.9855
744 1.0024 0.9832 0.9856
745 1.0031 0.9811 0.9841
746 1.0029 0.9811 0.9839
747 1.0026 0.9832 0.9858
748 1.0033 0.9789 0.9821
749 1.0040 0.9767 0.9806
750 1.0034 0.9789 0.9822
751 1.0040 0.9767 0.9806
752 1.0071 0.9674 0.9743
753 1.0071 0.9674 0.9743
754 1.0063 0.9698 0.9759
755 1.0062 0.9698 0.9758
756 1.0055 0.9721 0.9774
757 1.0047 0.9744 0.9790
758 1.0054 0.9721 0.9773
759 1.0047 0.9744 0.9790
760 1.0066 0.9698 0.9762
761 1.0064 0.9698 0.9760
762 1.0074 0.9674 0.9746
763 1.0072 0.9674 0.9744
764 1.0050 0.9744 0.9793
765 1.0058 0.9721 0.9777
766 1.0048 0.9744 0.9791
767 1.0056 0.9721 0.9775
768 1.0018 0.9858 0.9876
769 1.0020 0.9858 0.9878
770 1.0014 0.9878 0.9892
771 1.0016 0.9878 0.9894
772 1.0013 0.9878 0.9891
773 1.0012 0.9878 0.9890
774 1.0016 0.9858 0.9874
775 1.0017 0.9858 0.9875
776 1.0013 0.9898 0.9911
777 1.0010 0.9917 0.9927
778 1.0008 0.9917 0.9925
779 1.0011 0.9898 0.9909
780 1.0007 0.9917 0.9924
781 1.0006 0.9917 0.9923
782 1.0009 0.9898 0.9907
783 1.0010 0.9898 0.9908
784 1.0003 0.9954 0.9957
785 1.0004 0.9936 0.9940
786 1.0004 0.9936 0.9940
787 1.0002 0.9954 0.9956
788 1.0007 0.9936 0.9943
789 1.0004 0.9954 0.9958
790 1.0006 0.9954 0.9960
791 1.0006 0.9936 0.9942
792 1.0001 0.9989 0.9990
